"3.1:1_50","2742165491270221407","RESPONDENT","REJECT"
"3.1:1_50","1143409842130475681","BIDDER","1"
"3.1:2_50","2742165491270221407","BIDDER","1"
"3.1:2_50","1143409842130475681","RESPONDENT","REJECT"
"3.1:1_50","268834165469142501","BIDDER","1"
"3.1:1_50","1866485237890815039","RESPONDENT","REJECT"
"3.1:2_50","268834165469142501","RESPONDENT","ACCEPT"
"3.1:2_50","1866485237890815039","BIDDER","1"
"3.1:1_50","1152264498974623379","BIDDER","88"
"3.1:1_50","893105978371245592","RESPONDENT","ACCEPT"
"3.1:2_50","1152264498974623379","BIDDER","50"
"3.1:2_50","893105978371245592","RESPONDENT","REJECT"
"3.1:1_50","2007136161421278353","BIDDER","56"
"3.1:1_50","5411088691097927593","RESPONDENT","REJECT"
"3.1:2_50","2007136161421278353","RESPONDENT","ACCEPT"
"3.1:2_50","5411088691097927593","BIDDER","76"
"3.1:1_50","5411088691097927593","BIDDER","78"
"3.1:1_50","2007136161421278353","RESPONDENT","ACCEPT"
"3.1:2_50","5411088691097927593","RESPONDENT","REJECT"
"3.1:2_50","2007136161421278353","BIDDER","11"
"3.1:1_50","5411088691097927593","BIDDER","28"
"3.1:1_50","2007136161421278353","RESPONDENT","REJECT"
"3.1:2_50","5411088691097927593","BIDDER","24"
"3.1:2_50","2007136161421278353","RESPONDENT","ACCEPT"
"3.1:1_50","2007136161421278353","RESPONDENT","REJECT"
"3.1:1_50","5411088691097927593","BIDDER","95"
"3.1:2_50","2007136161421278353","RESPONDENT","REJECT"
"3.1:2_50","5411088691097927593","BIDDER","22"
"3.1:1_50","2007136161421278353","RESPONDENT","REJECT"
"3.1:1_50","5411088691097927593","BIDDER","20"
"3.1:2_50","2007136161421278353","RESPONDENT","ACCEPT"
"3.1:2_50","5411088691097927593","BIDDER","33"
"3.1:1_50","2007136161421278353","RESPONDENT","ACCEPT"
"3.1:1_50","5411088691097927593","BIDDER","24"
"3.1:2_50","2007136161421278353","BIDDER","ACCEPT","50"
"3.1:2_50","5411088691097927593","RESPONDENT","33","ACCEPT"
"3.1:1_50","5411088691097927593","BIDDER","43"
"3.1:1_50","15979887681031825059","RESPONDENT","ACCEPT"
